country,iso3,hdi,GNI_pc,year,HDI_category,population
Afghanistan,AFG,0.496,1049.140144,2017,Low,35688934500.0
Armenia,ARM,0.785,10967.42581,2017,High,2914963500.0
Azerbaijan,AZE,0.774,11726.24699,2017,High,9968509500.0
Bahrain,BHR,0.874,21973.61937,2017,Very High,1481995000.0
Bangladesh,BGD,0.633,3625.421927,2017,Medium,162186146500.0
Bhutan,BTN,0.656,9240.322301,2017,Medium,754334500.0
Brunei Darussalam,BRN,0.837,70340.62132,2017,Very High,432772000.0
Cambodia,KHM,0.578,3439.033395,2017,Medium,16073372500.0
China,CHN,0.765,12104.3075,2017,High,1412354727000.0
Cyprus,CYP,0.897,35441.0661,2017,Very High,1254275500.0
Georgia,GEO,0.816,11399.34829,2017,Very High,3792859000.0
India,IND,0.649,2727.611555,2017,Medium,1359657400000.0
Indonesia,IDN,0.712,7755.565554,2017,High,267346658000.0
Iran (Islamic Republic of),IRN,0.793,5423.719073,2017,High,85026754000.0
Iraq,IRQ,0.681,3113.091939,2017,Medium,39337353500.0
Israel,ISR,0.908,34581.69403,2017,Very High,8361796500.0
Japan,JPN,0.92,33381.30037,2017,Very High,127064690000.0
Jordan,JOR,0.747,3629.454813,2017,High,10234226000.0
Kazakhstan,KAZ,0.824,21944.69678,2017,Very High,18651931000.0
Korea (Republic of),KOR,0.922,30230.41978,2017,Very High,51486270500.0
Kuwait,KWT,0.838,33000.48731,2017,Very High,4154684500.000001
Kyrgyzstan,KGZ,0.704,3511.121115,2017,High,6220149500.0
Lao People's Democratic Republic,LAO,0.612,6119.954916,2017,Medium,7018147000.0
Lebanon,LBN,0.772,8014.453964,2017,High,6160128000.0
Malaysia,MYS,0.807,22651.48849,2017,Very High,32355644500.0
Maldives,MDV,0.739,10326.1397,2017,High,458287000.0
Mongolia,MNG,0.759,11064.15112,2017,High,3104364000.0
Myanmar,MMR,0.587,3774.330711,2017,Medium,51894938000.0
Nepal,NPL,0.588,2422.265107,2017,Medium,28011258000.0
Oman,OMN,0.848,13838.14352,2017,Very High,4537396500.0
Pakistan,PAK,0.537,1458.333293,2017,Low,223273967500.0
"Palestine, State of",PSE,0.721,2362.332596,2017,High,4742742500.0
Philippines,PHL,0.694,7577.86409,2017,Medium,108119693500.0
Qatar,QAT,0.87,53648.21856,2017,Very High,2706709500.0
Russian Federation,RUS,0.838,26299.18089,2017,Very High,146186799000.0
Saudi Arabia,SAU,0.869,12271.28823,2017,Very High,30782402000.0
Singapore,SGP,0.935,97826.97778,2017,Very High,5604078500.0
Sri Lanka,LKA,0.777,8719.894884,2017,High,22087522000.0
Syrian Arab Republic,SYR,0.551,1343.190612,2017,Medium,19224668000.0
Tajikistan,TJK,0.666,2670.471585,2017,Medium,9085946000.0
Thailand,THA,0.794,17274.19086,2017,High,71160187000.0
Timor-Leste,TLS,0.621,4845.065407,2017,Medium,1251703000.0
Turkmenistan,TKM,0.732,,2017,High,6507061000.0
TÃ¼rkiye,TUR,0.833,16715.56712,2017,Very High,83083662000.0
United Arab Emirates,ARE,0.884,33433.62167,2017,Very High,9234327000.0
Uzbekistan,UZB,0.719,5903.23108,2017,High,31819177500.0
Viet Nam,VNM,0.729,8693.278863,2017,High,95176977000.0
Yemen,YEM,0.459,165.987933,2017,Low,33090921500.0
