State,SHDI,LGNIC
Andaman and Nicobar Islands,0.706,9.334
Andhra Pradesh,0.642,9.027
Arunachal Pradesh,0.683,9.064
Assam,0.615,8.387
Bihar,0.577,8.253
Chandigarth,0.751,9.633
Chhattisgarh,0.625,8.688
Dadra and Nagar Haveli,0.624,8.718
Daman and Diu,0.674,9.125
Goa,0.76,9.643
Gujarat,0.646,9.092
Haryana,0.696,9.381
Himachal Pradesh,0.715,9.355
Jammu and Kashmir,0.72,9.27
Jharkhand,0.6,8.346
Karnataka,0.673,9.112
Kerala,0.758,9.4
Lakshadweep,0.719,9.413
Madhya Pradesh,0.611,8.629
Maharashtra,0.695,9.132
Manipur,0.683,8.671
Meghalaya,0.65,8.737
Mizoram,0.709,9.327
Nagaland,0.679,8.888
New Delhi,0.734,9.518
Orissa,0.61,8.544
Puducherry,0.741,9.456
Punjab,0.698,9.489
Rajasthan,0.652,9.027
Sikkim,0.712,9.183
Tamil Nadu,0.692,9.102
Telangana,0.66,9.077
Tripura,0.624,8.538
Uttar Pradesh,0.609,8.571
Uttaranchal,0.681,9.148
West Bengal,0.635,8.619